query1,query2,label
大椎穴在哪,大椎穴定位,2
做仰卧起坐起不来是什么原因,仰卧起坐起不来是怎么回事,2
精神分裂症的症状表现,精神分裂症什么症状,2
妇炎洁的功效,妇炎洁是什么用途,2
薏米茶来月经可以喝吗,来大姨妈可以喝薏米茶吗,2
孕妇血糖高会对胎儿造成什么影响,孕妇血糖高会有什么影响,2
减肥期间能吃饺子吗,减肥期间可以吃饺子吗,2
腮帮子有个疙瘩,腮帮子长疙瘩,2
尿酸高会脚痛吗,尿酸高脚酸,2
湿疹吃什么药最好,得了湿疹吃什么药,2
水果啥时候吃最好,水果应该什么时候吃最合适,2
判断抑郁症测试,郁抑症测试,2
坐骨神经痛有哪些症状,坐骨神经疼得症状,2
快速止咳良方,最有效止咳偏方,2
麦粒肿怎么引起的原因,麦粒肿引起原因,2
眼睛模糊是什么原因,眼睛这段时间很模糊怎么回事,2
治疗狐臭挂什么科室,狐臭看什么科室,2
什么叫肌张力,肌张力是什么,2
孕期可以吃阿胶,怀孕妇可以吃阿胶吗,2
崔玉涛建议打的二类疫苗,李兰娟谈制疫苗,2
手黄是怎么回事,手为什么发黄,2
吃饺子能减肥吗,吃饺子减肥吗,2
山药不可以和什么东西一起吃,山药不能和什么吃,2
手黄是怎么回事,手发黄是咋回事,2
小孩怎样申请健康码,怎么样给孩子申请健康码,2
帕金森病因,帕金森病的原因,2
姨妈期间能喝薏米茶吗,月经期间能喝薏米茶吗?,2
自闭症儿童的行为特征,自闭症儿童有哪些表现,2
乳头疼怎么回事？,乳头疼咋回事,2
掉 头发是什么原因,掉头发的原因是,2
月经来腰疼怎么回事,来月经会腰疼是怎么回事,2
打完疫苗能不能喝酒,打疫苗后能喝酒吗,2
验孕棒什么时间用,验孕棒什么时候用合适,2
坐骨神经痛有哪些症状,坐骨神经疼症状,2
做试管婴儿需要多少钱,做试管婴儿要多少钱啊,2
怀孕第一个月可以同房么,怀孕第一个月可以性生活吗,2
小孩打呼噜怎么回事,小孩打呼噜是怎么回事,2
根管治疗费用多少钱,根管治疗术多少钱,2
怎样快速入睡？,咋样快速入睡,2
跳绳与跑步哪个对膝盖损伤大,跳绳和跑步哪个对膝盖伤害大,2
8大特征暗示女人怀孕,8大特征暗示你已怀孕了,2
有脸有痣,脸上长了痣,2
大椎穴的位置,大椎穴位置,2
柿子不能和什么一起吃吗,柿子和什么不能同时吃,2
剖宫产伤口多久可以彻底愈合,剖腹产多久伤口完全愈合,2
恶心想吐是怎么回事？,最近恶心想吐是怎么回事,2
怀孕第一个月可以性生活吗,怀孕第一个月能过性活吗,2
孕妇可以喝咖啡吗？,孕妇能喝咖啡吗？,2
精神分裂症的症状。,精神分裂症 症状,2
一般人的瞳距是多少,正常人瞳距多少,2
关于手淫,手淫、,2
做完光子嫩肤注意事项,光子嫩肤之后注意事项,2
脾胃湿热吃什么药？,脾胃湿热用什么药,2
乳头疼是怎回事,乳头疼是为什么,2
刨腹产多久可以同房,剖腹产要多久可以同房,2
磨牙是什么原因引起的,磨牙是怎么回事,2
葛根粉是什么作用,葛根粉的作用与,2
感冒了能吃鸡蛋嘛？,感冒可以吃鸡蛋吗,2
哮喘治好吗,哮喘能不能治好,2
容易恶心想吐怎么回事,想吐恶心是怎么回事,2
螃蟹能不能和西红柿一起吃吗,西红柿和螃蟹能一起吃吗,2
龟头炎图片,龟头炎是什么样子图片,2
一岁半小孩打什么疫苗,宝宝一岁半打什么疫苗,2
脑供血不足是什么症状？,脑供血不足症状,2
抑郁症测试,抑郁症症测试,2
紧急避孕药有什么伤害,紧急避孕药有什么危害,2
为什么恶心想吐,恶心想吐是什么原因？,2
孕妇能吃阿胶吗,孕期可以吃阿胶吗？,2
怀孕中期乳头痒,孕期 乳头 痒,2
乳头疼怎么回事呢,乳头疼是为什么,2
菠菜能和鱼一起吃吗,鱼可以和菠菜一起吃吗,2
坐骨神经疼得症状,坐骨神经痛有什么症状,2
鹅口疮是什么引起的,鹅口疮病因,2
尿酸高会脚疼吗,尿酸高会脚痛吗,2
痛风可以治疗好吗,痛风可不可以治好,2
